Loan Type,Scenario,Year,Median Growth (%),Balance Index,Balance Lo,Balance Hi
C&I,Net Zero,2030,0.7578484517063463,107.04607870394611,103.67722082723053,107.24553058642809
C&I,Net Zero,2040,0.636300741041286,141.8936473125251,136.85563566508782,142.59729637861614
C&I,Net Zero,2050,0.7419951270591105,185.31888637146685,182.5277695536019,189.0001946586969
C&I,Delayed Trans.,2030,0.5098895141778913,102.33670904983401,102.32920844753124,102.43228026710962
C&I,Delayed Trans.,2040,0.7992250248109602,132.54747728973854,131.99373524725553,133.75545779307618
C&I,Delayed Trans.,2050,0.7968684573473046,183.3456255311343,182.54845886217652,185.00564571791392
C&I,NDCs,2030,0.5456770916432802,102.902528897573,102.8657149402679,104.5058611359837
C&I,NDCs,2040,0.7323416653917856,133.61733030860043,133.60154406399243,138.34411228721126
C&I,NDCs,2050,0.8134176653529214,183.66490743850747,182.8133786632899,187.21063633946395
Consumer,Net Zero,2030,1.2035092296580194,125.42175463168054,125.14857348148905,126.33039362159953
Consumer,Net Zero,2040,1.1837771984681762,201.96907314902242,199.449430238961,203.20121171411603
Consumer,Net Zero,2050,1.1962540147142031,325.52024146305524,320.7053015840732,328.1503971137229
Consumer,Delayed Trans.,2030,1.1939562133598571,125.3766777856841,125.37279891700494,125.37723032003403
Consumer,Delayed Trans.,2040,1.2099210112152061,203.23993141683536,202.90789652686965,203.73133745991936
Consumer,Delayed Trans.,2050,1.2033757059685937,327.9470041011548,327.4158387130356,328.43740366310243
Consumer,NDCs,2030,1.2052899414960832,125.56015871696896,125.461133778364,125.58811860606927
Consumer,NDCs,2040,1.1949510535793475,202.20207124222847,201.06475012584534,202.41962817930502
Consumer,NDCs,2050,1.192188691503039,326.39620934124275,323.7878108127735,326.8385938577294
